"","7d Intestinal","Egg white","Eggshell","Mat. Cloaca","Mat. Intestinal","Mat. Magnum","Meconium","Yolk sac","index","stat","p.value","feature"
"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__unclassified_g__Lactobacillus; OTU3217",1,0,0,0,0,0,0,0,1,0.402585478956274,0.01,"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__unclassified_g__Lactobacillus; OTU3217"
"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella;s__uncultured_bacterium_g__Tuzzerella; OTU5529",1,0,1,0,0,0,0,0,10,0.337049844284329,0.02,"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella;s__uncultured_bacterium_g__Tuzzerella; OTU5529"
"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__unclassified_o__Oscillospirales;g__unclassified_o__Oscillospirales;s__unclassified_o__Oscillospirales; OTU2889",1,0,0,0,0,0,0,0,1,0.47906133715856,0.01,"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__unclassified_o__Oscillospirales;g__unclassified_o__Oscillospirales;s__unclassified_o__Oscillospirales; OTU2889"
"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__unclassified_p__Firmicutes;o__unclassified_p__Firmicutes;f__unclassified_p__Firmicutes;g__unclassified_p__Firmicutes;s__unclassified_p__Firmicutes; OTU5087",0,0,0,0,1,0,0,0,5,0.382099013207648,0.01,"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__unclassified_p__Firmicutes;o__unclassified_p__Firmicutes;f__unclassified_p__Firmicutes;g__unclassified_p__Firmicutes;s__unclassified_p__Firmicutes; OTU5087"
"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;s__uncultured_bacterium_g__Monoglobus; OTU8229",0,0,1,0,1,0,0,0,23,0.410923031774439,0.01,"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;s__uncultured_bacterium_g__Monoglobus; OTU8229"
"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005;s__unclassified_g__UCG-005; OTU937",1,0,0,0,0,0,0,0,1,0.370936151841377,0.02,"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005;s__unclassified_g__UCG-005; OTU937"
"d__Bacteria;k__norank_d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__unclassified_g__Bacteroides; OTU5121",0,0,0,0,1,0,0,0,5,0.561719710488488,0.01,"d__Bacteria;k__norank_d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__unclassified_g__Bacteroides; OTU5121"
"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__unclassified_f__Lachnospiraceae;s__unclassified_f__Lachnospiraceae; OTU2821",1,0,0,0,1,0,0,0,12,0.419817634858342,0.01,"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__unclassified_f__Lachnospiraceae;s__unclassified_f__Lachnospiraceae; OTU2821"
"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__norank_f__Peptococcaceae;s__unclassified_g__norank_f__Peptococcaceae; OTU7079",0,0,1,0,1,0,0,0,23,0.318365466753237,0.04,"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__norank_f__Peptococcaceae;s__unclassified_g__norank_f__Peptococcaceae; OTU7079"
"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__norank_f__Peptococcaceae;s__unclassified_g__norank_f__Peptococcaceae; OTU7071",0,0,0,0,1,0,0,0,5,0.587223595153973,0.01,"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__norank_f__Peptococcaceae;s__unclassified_g__norank_f__Peptococcaceae; OTU7071"
"d__Bacteria;k__norank_d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia-Caballeronia-Paraburkholderia;s__Paraburkholderia_ferrariae; OTU261",0,0,0,0,0,0,0,1,8,0.38802675449712,0.01,"d__Bacteria;k__norank_d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia-Caballeronia-Paraburkholderia;s__Paraburkholderia_ferrariae; OTU261"
"d__Bacteria;k__norank_d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__unclassified_g__Chryseobacterium; OTU226",0,1,0,0,0,0,0,0,2,0.479918217572634,0.01,"d__Bacteria;k__norank_d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__unclassified_g__Chryseobacterium; OTU226"
"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__uncultured_organism_g__Butyricicoccus; OTU5139",0,0,0,0,1,0,0,0,5,0.379905035387175,0.01,"d__Bacteria;k__norank_d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__uncultured_organism_g__Butyricicoccus; OTU5139"
